x-axis,1,2,3,4
second,Ampere,Volt,Volt,Volt
+17.90000E-03,+604.24995E-03,-12.18000031E+00,+6.37999916E+00,+15.11999893E+00
+17.95000E-03,+416.74995E-03,-11.55500031E+00,+7.00499916E+00,+15.11999893E+00
+18.00000E-03,+572.99995E-03,-3.43000031E+00,-1.12000084E+00,-4.25500107E+00
+18.05000E-03,+697.99995E-03,-2.80500031E+00,-1.12000084E+00,-4.25500107E+00
+18.10000E-03,+822.99995E-03,-2.80500031E+00,-3.62000084E+00,-3.63000107E+00
+18.15000E-03,+479.24995E-03,-11.55500031E+00,+5.75499916E+00,+14.49499893E+00
+18.20000E-03,+416.74995E-03,-5.93000031E+00,+1.37999916E+00,+2.61999893E+00
+18.25000E-03,+572.99995E-03,-3.43000031E+00,-1.74500084E+00,-3.63000107E+00
+18.30000E-03,+697.99995E-03,-2.80500031E+00,-1.12000084E+00,-3.63000107E+00
+18.35000E-03,+697.99995E-03,-11.55500031E+00,+5.12999916E+00,+15.11999893E+00
+18.40000E-03,+385.49995E-03,-10.93000031E+00,+5.12999916E+00,+15.11999893E+00
+18.45000E-03,+447.99995E-03,-6.55500031E+00,+754.99916E-03,+2.61999893E+00
+18.50000E-03,+572.99995E-03,-3.43000031E+00,-2.37000084E+00,-3.63000107E+00
+18.55000E-03,+666.74995E-03,-3.43000031E+00,-2.37000084E+00,-3.00500107E+00
+18.60000E-03,+510.49995E-03,-10.93000031E+00,+3.87999916E+00,+15.11999893E+00
+18.65000E-03,+354.24995E-03,-11.55500031E+00,+5.12999916E+00,+14.49499893E+00
+18.70000E-03,+447.99995E-03,-5.93000031E+00,-1.12000084E+00,+2.61999893E+00
+18.75000E-03,+604.24995E-03,-3.43000031E+00,-2.99500084E+00,-3.00500107E+00
+18.80000E-03,+697.99995E-03,-2.80500031E+00,-2.99500084E+00,-3.00500107E+00
+18.85000E-03,+447.99995E-03,-10.93000031E+00,+3.87999916E+00,+15.11999893E+00
+18.90000E-03,+354.24995E-03,-5.93000031E+00,+129.99916E-03,+3.24499893E+00
+18.95000E-03,+479.24995E-03,-6.55500031E+00,+129.99916E-03,+3.86999893E+00
+19.00000E-03,+572.99995E-03,-2.80500031E+00,-2.99500084E+00,-4.25500107E+00
+19.05000E-03,+729.24995E-03,-7.18000031E+00,+6.37999916E+00,+744.99893E-03
+19.10000E-03,+385.49995E-03,-11.55500031E+00,+2.62999916E+00,+15.74499893E+00
+19.15000E-03,+385.49995E-03,-5.93000031E+00,+129.99916E-03,+4.49499893E+00
+19.20000E-03,+510.49995E-03,-5.30500031E+00,-1.74500084E+00,+3.86999893E+00
+19.25000E-03,+604.24995E-03,-2.80500031E+00,-2.99500084E+00,-3.00500107E+00
+19.30000E-03,+604.24995E-03,-10.93000031E+00,+2.62999916E+00,+15.11999893E+00
+19.35000E-03,+354.24995E-03,-10.93000031E+00,+2.62999916E+00,+15.74499893E+00
+19.40000E-03,+416.74995E-03,-6.55500031E+00,-495.00084E-03,+4.49499893E+00
+19.45000E-03,+572.99995E-03,-2.80500031E+00,-2.37000084E+00,-3.00500107E+00
+19.50000E-03,+666.74995E-03,-2.80500031E+00,-3.62000084E+00,-3.00500107E+00
+19.55000E-03,+479.24995E-03,-9.68000031E+00,+2.00499916E+00,+15.74499893E+00
+19.60000E-03,+322.99995E-03,-10.30500031E+00,+2.62999916E+00,+15.74499893E+00
+19.65000E-03,+479.24995E-03,-5.30500031E+00,-1.12000084E+00,+3.86999893E+00
+19.70000E-03,+604.24995E-03,-2.18000031E+00,-2.37000084E+00,-3.00500107E+00
+19.75000E-03,+697.99995E-03,-2.18000031E+00,-2.99500084E+00,-3.63000107E+00
+19.80000E-03,+416.74995E-03,-9.68000031E+00,+754.99916E-03,+16.36999893E+00
+19.85000E-03,+385.49995E-03,-4.68000031E+00,-3.62000084E+00,+3.24499893E+00
+19.90000E-03,+729.24995E-03,-2.80500031E+00,-1.74500084E+00,-2.38000107E+00
+19.95000E-03,+1.04174995E+00,-2.80500031E+00,-1.74500084E+00,-3.00500107E+00
+20.00000E-03,+1.19799995E+00,-8.43000031E+00,-7.37000084E+00,+17.61999893E+00
+20.05000E-03,+635.49995E-03,-8.43000031E+00,-6.74500084E+00,+19.49499893E+00
+20.10000E-03,+697.99995E-03,-2.80500031E+00,-1.74500084E+00,-2.38000107E+00
+20.15000E-03,+916.74995E-03,-2.80500031E+00,-1.74500084E+00,-1.75500107E+00
+20.20000E-03,+1.13549995E+00,-3.43000031E+00,-1.74500084E+00,-2.38000107E+00
+20.25000E-03,+979.24995E-03,-7.80500031E+00,-7.37000084E+00,+18.24499893E+00
+20.30000E-03,+604.24995E-03,-7.80500031E+00,-7.37000084E+00,+18.86999893E+00
+20.35000E-03,+729.24995E-03,-2.80500031E+00,-1.74500084E+00,-2.38000107E+00
+20.40000E-03,+947.99995E-03,-2.80500031E+00,-1.12000084E+00,-2.38000107E+00
+20.45000E-03,+1.16674995E+00,-2.80500031E+00,-1.74500084E+00,-1.75500107E+00
+20.50000E-03,+791.74995E-03,-7.80500031E+00,-6.74500084E+00,+18.86999893E+00
+20.55000E-03,+604.24995E-03,-6.55500031E+00,-5.49500084E+00,+15.74499893E+00
+20.60000E-03,+822.99995E-03,-2.80500031E+00,-1.12000084E+00,-1.75500107E+00
+20.65000E-03,+1.04174995E+00,-2.80500031E+00,-1.74500084E+00,-3.00500107E+00
+20.70000E-03,+1.22924995E+00,-2.18000031E+00,-1.12000084E+00,-2.38000107E+00
+20.75000E-03,+666.74995E-03,-8.43000031E+00,-6.74500084E+00,+20.11999893E+00
+20.80000E-03,+635.49995E-03,-2.18000031E+00,-495.00084E-03,-1.75500107E+00
+20.85000E-03,+885.49995E-03,-1.55500031E+00,-1.12000084E+00,-2.38000107E+00
+20.90000E-03,+1.07299995E+00,-2.18000031E+00,-1.12000084E+00,-1.75500107E+00
+20.95000E-03,+1.10424995E+00,-7.80500031E+00,-6.74500084E+00,+18.86999893E+00
+21.00000E-03,+604.24995E-03,-7.18000031E+00,-7.37000084E+00,+20.11999893E+00
+21.05000E-03,+697.99995E-03,-2.80500031E+00,-1.12000084E+00,-1.75500107E+00
+21.10000E-03,+822.99995E-03,-1.55500031E+00,-1.12000084E+00,-1.75500107E+00
+21.15000E-03,+979.24995E-03,-2.18000031E+00,-1.12000084E+00,-1.75500107E+00
+21.20000E-03,+729.24995E-03,-930.00031E-03,-7.99500084E+00,+17.61999893E+00
+21.25000E-03,+447.99995E-03,-7.18000031E+00,-6.12000084E+00,+19.49499893E+00
+21.30000E-03,+572.99995E-03,-2.80500031E+00,-1.74500084E+00,+1.99499893E+00
+21.35000E-03,+697.99995E-03,-1.55500031E+00,-495.00084E-03,-2.38000107E+00
+21.40000E-03,+822.99995E-03,-2.18000031E+00,-1.12000084E+00,-1.75500107E+00
+21.45000E-03,+510.49995E-03,+944.99969E-03,-7.99500084E+00,+16.99499893E+00
+21.50000E-03,+385.49995E-03,-930.00031E-03,-3.62000084E+00,+5.74499893E+00
+21.55000E-03,+541.74995E-03,-3.43000031E+00,-1.74500084E+00,+1.36999893E+00
+21.60000E-03,+666.74995E-03,-1.55500031E+00,-495.00084E-03,-2.38000107E+00
+21.65000E-03,+729.24995E-03,+1.56999969E+00,-8.62000084E+00,+16.36999893E+00
+21.70000E-03,+416.74995E-03,+2.19499969E+00,-7.99500084E+00,+16.99499893E+00
+21.75000E-03,+416.74995E-03,-1.55500031E+00,-4.24500084E+00,+5.11999893E+00
+21.80000E-03,+572.99995E-03,-2.18000031E+00,+129.99916E-03,-2.38000107E+00
+21.85000E-03,+635.49995E-03,-1.55500031E+00,-1.74500084E+00,-2.38000107E+00
+21.90000E-03,+604.24995E-03,+2.19499969E+00,-9.24500084E+00,+16.36999893E+00
+21.95000E-03,+322.99995E-03,+2.81999969E+00,-8.62000084E+00,+16.36999893E+00
+22.00000E-03,+447.99995E-03,-930.00031E-03,-4.24500084E+00,+5.11999893E+00
+22.05000E-03,+604.24995E-03,-1.55500031E+00,-1.12000084E+00,-2.38000107E+00
+22.10000E-03,+666.74995E-03,-2.18000031E+00,-1.12000084E+00,-3.00500107E+00
+22.15000E-03,+510.49995E-03,+2.81999969E+00,-8.62000084E+00,+16.36999893E+00
+22.20000E-03,+354.24995E-03,+7.81999969E+00,-9.87000084E+00,+15.74499893E+00
+22.25000E-03,+447.99995E-03,-930.00031E-03,-3.62000084E+00,+4.49499893E+00
+22.30000E-03,+572.99995E-03,-3.43000031E+00,-1.12000084E+00,-2.38000107E+00
+22.35000E-03,+697.99995E-03,-3.43000031E+00,-1.74500084E+00,-2.38000107E+00
+22.40000E-03,+416.74995E-03,+2.81999969E+00,-9.87000084E+00,+16.36999893E+00
+22.45000E-03,+385.49995E-03,+319.99969E-03,-4.87000084E+00,+5.11999893E+00
+22.50000E-03,+479.24995E-03,-305.00031E-03,-3.62000084E+00,+3.24499893E+00
+22.55000E-03,+604.24995E-03,-2.80500031E+00,-1.74500084E+00,-2.38000107E+00
+22.60000E-03,+666.74995E-03,+4.06999969E+00,-9.87000084E+00,+16.36999893E+00
+22.65000E-03,+354.24995E-03,+3.44499969E+00,-9.24500084E+00,+15.74499893E+00
+22.70000E-03,+416.74995E-03,+319.99969E-03,-4.87000084E+00,+5.11999893E+00
+22.75000E-03,+541.74995E-03,-2.18000031E+00,-2.37000084E+00,-3.63000107E+00
+22.80000E-03,+666.74995E-03,-2.80500031E+00,-2.99500084E+00,-2.38000107E+00
+22.85000E-03,+572.99995E-03,+4.69499969E+00,-9.87000084E+00,+15.74499893E+00
+22.90000E-03,+354.24995E-03,+5.31999969E+00,-9.87000084E+00,+15.74499893E+00
+22.95000E-03,+447.99995E-03,-305.00031E-03,-4.87000084E+00,+3.86999893E+00
+23.00000E-03,+635.49995E-03,-1.55500031E+00,-2.37000084E+00,-3.00500107E+00
+23.05000E-03,+729.24995E-03,-930.00031E-03,-2.37000084E+00,-3.00500107E+00
+23.10000E-03,+510.49995E-03,+5.94499969E+00,-9.87000084E+00,+15.74499893E+00
+23.15000E-03,+354.24995E-03,+944.99969E-03,-4.87000084E+00,+3.24499893E+00
+23.20000E-03,+510.49995E-03,+319.99969E-03,-5.49500084E+00,+3.86999893E+00
+23.25000E-03,+729.24995E-03,-4.05500031E+00,-2.99500084E+00,+1.36999893E+00
+23.30000E-03,+1.01049995E+00,-4.68000031E+00,-2.99500084E+00,+1.99499893E+00
+23.35000E-03,+604.24995E-03,+14.06999969E+00,-11.12000084E+00,+10.11999893E+00
+23.40000E-03,+666.74995E-03,-4.05500031E+00,-3.62000084E+00,+1.99499893E+00
+23.45000E-03,+885.49995E-03,-4.05500031E+00,-2.37000084E+00,+744.99893E-03
+23.50000E-03,+1.13549995E+00,-4.68000031E+00,-2.37000084E+00,+1.36999893E+00
+23.55000E-03,+1.16674995E+00,+14.06999969E+00,-11.12000084E+00,+8.86999893E+00
+23.60000E-03,+666.74995E-03,+13.44499969E+00,-11.74500084E+00,+9.49499893E+00
+23.65000E-03,+760.49995E-03,-3.43000031E+00,-2.37000084E+00,+744.99893E-03
+23.70000E-03,+947.99995E-03,-4.05500031E+00,-2.99500084E+00,+744.99893E-03
+23.75000E-03,+1.13549995E+00,-3.43000031E+00,-2.37000084E+00,+744.99893E-03
+23.80000E-03,+822.99995E-03,+14.06999969E+00,-11.12000084E+00,+9.49499893E+00
+23.85000E-03,+510.49995E-03,+15.31999969E+00,-9.87000084E+00,+4.49499893E+00
+23.90000E-03,+666.74995E-03,-3.43000031E+00,-2.37000084E+00,+119.99893E-03
+23.95000E-03,+791.74995E-03,-3.43000031E+00,-2.37000084E+00,+119.99893E-03
+24.00000E-03,+916.74995E-03,-4.68000031E+00,-2.99500084E+00,+2.61999893E+00
+24.05000E-03,+541.74995E-03,+14.69499969E+00,-10.49500084E+00,+7.61999893E+00
+24.10000E-03,+447.99995E-03,+1.56999969E+00,-4.87000084E+00,+2.61999893E+00
+24.15000E-03,+604.24995E-03,-4.05500031E+00,-2.37000084E+00,-505.00107E-03
+24.20000E-03,+791.74995E-03,-3.43000031E+00,-2.37000084E+00,+744.99893E-03
+24.25000E-03,,,,
